Department ID,Title,Job Type,Area of Practice,Position,Salary,Hospital Name,City,State,URL,Description,Scraped At
R-221604,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA North Portland Veterinary Hospital,Portland,Oregon,https://www.vcacareers.com/global/en/job/R-221604/Associate-Veterinarian,,"3/30/2026, 6:15:54 PM"
R-224771,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,VCA Metroplex Animal Hospital,Irving,Texas,https://www.vcacareers.com/global/en/job/R-224771/Emergency-Veterinarian,,"3/30/2026, 6:15:54 PM"
R-224579,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Mountain Vista Animal Hospital,Las Vegas,Nevada,https://www.vcacareers.com/global/en/job/R-224579/Medical-Director,,"3/30/2026, 6:15:59 PM"
R-225652,Surgeon,Full time,Specialty Care,Surgeon,Negotiable,VCA Veterinary Specialty & Emergency Center,Kalamazoo,Michigan,https://www.vcacareers.com/global/en/job/R-225652/Surgeon,,"3/30/2026, 6:15:59 PM"
R-181217,Criticalist,Full time,Specialty Care,Criticalist,Negotiable,VCA Capitol Area Veterinary Emergency,Concord,New Hampshire,https://www.vcacareers.com/global/en/job/R-181217/Criticalist,,"3/30/2026, 6:15:59 PM"
R-110243,Cardiologist,Full time,Specialty Care,Cardiologist,Negotiable,VCA Capitol Area Veterinary Emergency,Concord,New Hampshire,https://www.vcacareers.com/global/en/job/R-110243/Cardiologist,,"3/30/2026, 6:15:59 PM"
R-224559,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Noah'S Ark Animal Hospital,Goleta,California,https://www.vcacareers.com/global/en/job/R-224559/Associate-Veterinarian,,"3/30/2026, 6:15:59 PM"
R-133877,Oncologist,Full time,Specialty Care,Medical,N/A,VCA Capital Area Veterinary Specialists,Austin,Texas,https://www.vcacareers.com/global/en/job/R-133877/Oncologist,,"3/30/2026, 6:16:04 PM"
R-219242,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Jordan River Animal Hospital,West Jordan,Utah,https://www.vcacareers.com/global/en/job/R-219242/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-204561,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $240K (Yearly)",VCA PetCare East Veterinary Hospital,Santa Rosa,California,https://www.vcacareers.com/global/en/job/R-204561/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-214144,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,"for this position is $66,560 - $240K (Yearly)",VCA Valley Oak Veterinary Center,Chico,California,https://www.vcacareers.com/global/en/job/R-214144/Emergency-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-225049,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Almaden Valley Animal Hospital,San Jose,California,https://www.vcacareers.com/global/en/job/R-225049/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-225526,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $160K (Yearly)",VCA Westside Animal Hospital,Santa Rosa,California,https://www.vcacareers.com/global/en/job/R-225526/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-224764,Overnight Emergency Veterinarian,Full time,Emergency Care,Overnight Emergency Veterinarian,"$180,000 to $260,000 (Yearly)",VCA Mueller Pet Medical Center,Sacramento,California,https://www.vcacareers.com/global/en/job/R-224764/Overnight-Emergency-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-224692,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Los Banos Animal Hospital,Los Banos,California,https://www.vcacareers.com/global/en/job/R-224692/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-224688,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Ocean View Animal Hospital,Pacific Grove,California,https://www.vcacareers.com/global/en/job/R-224688/Associate-Veterinarian,,"3/30/2026, 6:16:05 PM"
R-223141,Surgeon,Full time,Specialty Care,Surgeon,"$200,000 to $350,000 (Yearly)",VCA Animal Specialty And Emergency Center,Los Angeles,California,https://www.vcacareers.com/global/en/job/R-223141/Surgeon,,"3/30/2026, 6:16:11 PM"
R-224642,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Parkway Animal Hospital,Tacoma,Washington,https://www.vcacareers.com/global/en/job/R-224642/Associate-Veterinarian,,"3/30/2026, 6:16:11 PM"
R-201612,Surgeon,Full time,Specialty Care,Surgeon,Negotiable,VCA Advanced Veterinary Care Center,Fishers,Indiana,https://www.vcacareers.com/global/en/job/R-201612/Surgeon,,"3/30/2026, 6:16:11 PM"
R-226973,"Specialty Medical Director - Criticalist, Internist, Surgeon - Open to All Specialties (Open)",Full time,Specialty Care,Specialty Medical Director,for this position is $200-$250k (Yearly),VCA Advanced Veterinary Care Center,Fishers,Indiana,https://www.vcacareers.com/global/en/job/R-226973/Specialty-Medical-Director-Criticalist-Internist-Surgeon-Open-to-All-Specialties-Open,,"3/30/2026, 6:16:11 PM"
R-225560,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Redmond Animal Hospital,Redmond,Washington,https://www.vcacareers.com/global/en/job/R-225560/Associate-Veterinarian,,"3/30/2026, 6:16:11 PM"
R-226283,Urgent Care Veterinarian,Full time,Urgent Care,Urgent Care Veterinarian,Negotiable,VCA Animal Hospitals Urgent Care,Chandler,Arizona,https://www.vcacareers.com/global/en/job/R-226283/Urgent-Care-Veterinarian,,"3/30/2026, 6:16:11 PM"
R-225799,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,for this position is $150k - $180K (Yearly),VCA North Park Animal Hospital,Rohnert Park,California,https://www.vcacareers.com/global/en/job/R-225799/Associate-Veterinarian,,"3/30/2026, 6:16:16 PM"
R-225947,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Orange Animal Hospital,Orange,California,https://www.vcacareers.com/global/en/job/R-225947/Associate-Veterinarian,,"3/30/2026, 6:16:16 PM"
R-222656,Medical Director,Full time,General Practice Care,Medical Director,"$64,480 - $200,000 (Yearly)",VCA Animal Care Clinic Is Seeking A,San Pablo,California,https://www.vcacareers.com/global/en/job/R-222656/Medical-Director,,"3/30/2026, 6:16:16 PM"
R-215992,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Fairleigh Animal Hospital,Louisville,Kentucky,https://www.vcacareers.com/global/en/job/R-215992/Associate-Veterinarian,,"3/30/2026, 6:16:16 PM"
R-209035,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,Swartz Creek Animal Hospital,Swartz Creek,Michigan,https://www.vcacareers.com/global/en/job/R-209035/Associate-Veterinarian,,"3/30/2026, 6:16:16 PM"
R-222599,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Parkdale Animal Hospital,Newburgh,Indiana,https://www.vcacareers.com/global/en/job/R-222599/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-206735,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Dahlonega Animal Hospital,Dahlonega,Georgia,https://www.vcacareers.com/global/en/job/R-206735/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-215245,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Countryside Animal Hospital,Hamburg,Michigan,https://www.vcacareers.com/global/en/job/R-215245/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-207102,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,Beech Road Animal Hospital,Redford,Michigan,https://www.vcacareers.com/global/en/job/R-207102/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-225402,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Cherry Bend Animal Hospital,Traverse City,Michigan,https://www.vcacareers.com/global/en/job/R-225402/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-226420,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Shelden Animal Hospital,Louisville,Kentucky,https://www.vcacareers.com/global/en/job/R-226420/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-216078,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Liberty Animal Hospital,Birmingham,Alabama,https://www.vcacareers.com/global/en/job/R-216078/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-217108,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Dog And Cat Hospital,Tiffin,Ohio,https://www.vcacareers.com/global/en/job/R-217108/Associate-Veterinarian,,"3/30/2026, 6:16:22 PM"
R-188963,Criticalist,Full time,Specialty Care,Criticalist,Negotiable,VCA Veterinary Emergency Service & Veterinary Specialty Center,Middleton,Wisconsin,https://www.vcacareers.com/global/en/job/R-188963/Criticalist,,"3/30/2026, 6:16:22 PM"
R-142262,Emergency Veterinarian,Full time,Emergency Care,Overnight Emergency Veterinarian,Negotiable,VCA Animal Emergency Critical Care,Leesburg,Virginia,https://www.vcacareers.com/global/en/job/R-142262/Emergency-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-186622,Emergency Veterinarian,Full time,Specialty Care,Emergency Veterinarian,"$80,000 to $220,000 (Yearly)",VCA TLC Pasadena Veterinary Specialty And Emergency,South Pasadena,California,https://www.vcacareers.com/global/en/job/R-186622/Emergency-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-225896,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,VCA McCormick Ranch Animal Hospital And Emergency Center,Scottsdale,Arizona,https://www.vcacareers.com/global/en/job/R-225896/Emergency-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-225979,Veterinarian - Torrance,Full time,Veterinarian,Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Clarmar Animal Hospital,Torrance,California,https://www.vcacareers.com/global/en/job/R-225979/Veterinarian-Torrance,,"3/30/2026, 6:16:27 PM"
R-226916,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA York Royalton Animal Hospital,North Royalton,Ohio,https://www.vcacareers.com/global/en/job/R-226916/Associate-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-191538,Ophthalmologist,Full time,Specialty Care,Ophthalmologist,"$200,000 -$300,000 (Yearly)",Vet Care,Albuquerque,New Mexico,https://www.vcacareers.com/global/en/job/R-191538/Ophthalmologist,,"3/30/2026, 6:16:27 PM"
R-204711,Associate Veterinarian,Full time,Veterinarian,Associate General Practice Veterinarian,Negotiable,Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-204711/Associate-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-205978,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,"$150,000-$175,000 (Yearly)",VCA California Veterinary Specialists,Ontario,California,https://www.vcacareers.com/global/en/job/R-205978/Emergency-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-207121,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Mountain Vista Animal Hospital,Las Vegas,Nevada,https://www.vcacareers.com/global/en/job/R-207121/Associate-Veterinarian,,"3/30/2026, 6:16:27 PM"
R-213781,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Prestonwood Animal Hospital,Houston,Texas,https://www.vcacareers.com/global/en/job/R-213781/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-216840,"Emergency Veterinarian - Lawndale, CA",Full time,Emergency Care,experienced full-time Emergency Veterinarian,N/A,"Client Communication, And Providing Compassionate Care To Pets In Need, Then",Lawndale,California,https://www.vcacareers.com/global/en/job/R-216840/Emergency-Veterinarian-Lawndale-CA,,"3/30/2026, 6:16:33 PM"
R-217107,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA College Hill Animal Hospital,Cincinnati,Ohio,https://www.vcacareers.com/global/en/job/R-217107/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-219838,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Willow Creek Pet Center,Cottonwood Heights,Utah,https://www.vcacareers.com/global/en/job/R-219838/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-226989,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Coral Springs Pet Resort And Medical Center,Coral Springs,Florida,https://www.vcacareers.com/global/en/job/R-226989/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-226991,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Boonsboro Animal Hospital,Lynchburg,Virginia,https://www.vcacareers.com/global/en/job/R-226991/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-195498,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,for this position is $100k - $180K (Yearly),VCA La Riviera Animal Medical Center,Sacramento,California,https://www.vcacareers.com/global/en/job/R-195498/Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-203953,ER Associate Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,Old Marple Animal Hospital,Springfield,Pennsylvania,https://www.vcacareers.com/global/en/job/R-203953/ER-Associate-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-207125,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,VCA Valley Animal Hospital And Emergency Center,Tucson,Arizona,https://www.vcacareers.com/global/en/job/R-207125/Emergency-Veterinarian,,"3/30/2026, 6:16:33 PM"
R-210345,"Emergency Veterinarian - Concord, NH",Full time,Emergency Care,"Emergency Veterinarian - Concord, NH",Negotiable,VCA Network,Concord,New Hampshire,https://www.vcacareers.com/global/en/job/R-210345/Emergency-Veterinarian-Concord-NH,,"3/30/2026, 6:16:33 PM"
R-220709,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Dover Animal Hospital,Dover,Delaware,https://www.vcacareers.com/global/en/job/R-220709/Medical-Director,,"3/30/2026, 6:16:39 PM"
R-220971,Surgeon,Full time,Specialty Care,Surgeon,"$150,000 to $300,000 (Yearly)",VCA Orange County Veterinary Specialists,Tustin,California,https://www.vcacareers.com/global/en/job/R-220971/Surgeon,,"3/30/2026, 6:16:39 PM"
R-222738,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Central Expressway Animal Hospital,Dallas,Texas,https://www.vcacareers.com/global/en/job/R-222738/Associate-Veterinarian,,"3/30/2026, 6:16:39 PM"
R-223163,Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Carrollton Animal Hospital,Carrollton,Georgia,https://www.vcacareers.com/global/en/job/R-223163/Veterinarian,,"3/30/2026, 6:16:39 PM"
R-223224,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,VCA Animal Emergency Critical Care,Leesburg,Virginia,https://www.vcacareers.com/global/en/job/R-223224/Emergency-Veterinarian,,"3/30/2026, 6:16:39 PM"
R-223457,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Health Associates Animal Hospital,San Antonio,Texas,https://www.vcacareers.com/global/en/job/R-223457/Associate-Veterinarian,,"3/30/2026, 6:16:39 PM"
R-226994,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Wiles Animal Hospital,Coral Springs,Florida,https://www.vcacareers.com/global/en/job/R-226994/Associate-Veterinarian,,"3/30/2026, 6:16:39 PM"
R-197703,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$115,000 - $130,000 (Yearly)",VCA Milliken Animal Hospital,Milliken,Colorado,https://www.vcacareers.com/global/en/job/R-197703/Associate-Veterinarian,,"3/30/2026, 6:16:39 PM"
R-227324,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Little Animal Hospital,New Port Richey,Florida,https://www.vcacareers.com/global/en/job/R-227324/Associate-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-222200,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Lakewood Animal Hospital,Cerritos,California,https://www.vcacareers.com/global/en/job/R-222200/Emergency-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-223957,"Associate Veterinarian - Marshall, MI",Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Marshall Animal Hospital,Marshall,Michigan,https://www.vcacareers.com/global/en/job/R-223957/Associate-Veterinarian-Marshall-MI,,"3/30/2026, 6:16:44 PM"
R-227065,Ophthalmologist,Full time,Specialty Care,Ophthalmologist,"$150,000 to $300,000 (Yearly)",VCA Encina Veterinary Medical Center,Walnut Creek,California,https://www.vcacareers.com/global/en/job/R-227065/Ophthalmologist,,"3/30/2026, 6:16:44 PM"
R-220620,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Murrayhill Veterinary Hospital,Beaverton,Oregon,https://www.vcacareers.com/global/en/job/R-220620/Associate-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-229565,Associate Veterinarian,Full time,General Practice Care,"Associate Veterinarian, DVM",Negotiable,VCA Wakulla Animal Hospital,Crawfordville,Florida,https://www.vcacareers.com/global/en/job/R-229565/Associate-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-226902,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Oakwood Animal Hospital,Woodbridge,California,https://www.vcacareers.com/global/en/job/R-226902/Associate-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-214139,Emergency Veterinarian,Full time,Veterinarian,Emergency and Primary Care Veterinarian,"$150,000 to $250,000 (Yearly)",VCA Mueller Pet Medical Center,Sacramento,California,https://www.vcacareers.com/global/en/job/R-214139/Emergency-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-228589,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Five Points Animal Hospital,Aliquippa,Pennsylvania,https://www.vcacareers.com/global/en/job/R-228589/Associate-Veterinarian,,"3/30/2026, 6:16:44 PM"
R-228312,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Mission San Jose Animal Hospital,Fremont,California,https://www.vcacareers.com/global/en/job/R-228312/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-228232,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA All Pet Animal Hospital,Taylorsville,Utah,https://www.vcacareers.com/global/en/job/R-228232/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-229546,Associate Veterinarian,Part time,General Practice Care,Part-Time Associate Veterinarian,Negotiable,VCA Sanibel Animal Hospital,Sanibel,Florida,https://www.vcacareers.com/global/en/job/R-229546/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-229555,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian at VCA Foxon and you’ll quickly discover that you’re well supported by world-,Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",East Haven,Connecticut,https://www.vcacareers.com/global/en/job/R-229555/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-224523,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Pacific Veterinary Center,Torrance,California,https://www.vcacareers.com/global/en/job/R-224523/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-225558,Associate Veterinarian,Full time,Veterinarian,Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Adler Animal Hospital,North Hills,California,https://www.vcacareers.com/global/en/job/R-225558/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-225945,"Associate Veterinarian- Hermosa Beach, CA",Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Hermosa Animal Hospital,Hermosa Beach,California,https://www.vcacareers.com/global/en/job/R-225945/Associate-Veterinarian-Hermosa-Beach-CA,,"3/30/2026, 6:16:50 PM"
R-225983,Associate Veterinarian,Full time,Veterinarian,Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Clarmar Animal Hospital,Torrance,California,https://www.vcacareers.com/global/en/job/R-225983/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-221851,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Terrell Mill Animal Hospital,Marietta,Georgia,https://www.vcacareers.com/global/en/job/R-221851/Associate-Veterinarian,,"3/30/2026, 6:16:50 PM"
R-229497,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Kelliwood Animal Hospital,Katy,Texas,https://www.vcacareers.com/global/en/job/R-229497/Associate-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-227700,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Allen Park Animal Hospital,Allen Park,Michigan,https://www.vcacareers.com/global/en/job/R-227700/Associate-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-228588,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Stoney Creek Animal Hospital,Charlotte,North Carolina,https://www.vcacareers.com/global/en/job/R-228588/Associate-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-205909,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian VCA Jackson Animal Hospital. You’ll quickly discover that you’re well support,Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",Jackson,Michigan,https://www.vcacareers.com/global/en/job/R-205909/Associate-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-222736,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA All Our Pets Animal Hospital,Sacramento,California,https://www.vcacareers.com/global/en/job/R-222736/Associate-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-230152,Neurologist,Full time,Specialty Care,Neurologist,Negotiable,VCA Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-230152/Neurologist,,"3/30/2026, 6:16:55 PM"
R-230153,Cardiologist,Full time,Specialty Care,Cardiologist,Negotiable,VCA Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-230153/Cardiologist,,"3/30/2026, 6:16:55 PM"
R-230182,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,Negotiable,VCA Regional Institute For Veterinary Emergency,Chattanooga,Tennessee,https://www.vcacareers.com/global/en/job/R-230182/Emergency-Veterinarian,,"3/30/2026, 6:16:55 PM"
R-230180,"Associate Veterinarian - Fort Myers, FL",Part time,General Practice Care,"Part-time Associate Veterinarian, DVM at VCA Miracle Mile",Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",Fort Myers,Florida,https://www.vcacareers.com/global/en/job/R-230180/Associate-Veterinarian-Fort-Myers-FL,,"3/30/2026, 6:16:55 PM"
R-229140,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Winchester Animal Hospital,Campbell,California,https://www.vcacareers.com/global/en/job/R-229140/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-222649,Internist,Full time,Specialty Care,Internal Medicine Specialist,for this position is $225-$325k (Yearly),VCA Animal Specialty & Emergency Center,Los Angeles,California,https://www.vcacareers.com/global/en/job/R-222649/Internist,,"3/30/2026, 6:17:01 PM"
R-230230,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Ponti Animal Hospital,Otis Orchards,Washington,https://www.vcacareers.com/global/en/job/R-230230/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-230227,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA West Linn Animal Hospital,West Linn,Oregon,https://www.vcacareers.com/global/en/job/R-230227/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-229502,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Lake Jackson Animal Hospital,Lake Jackson,Texas,https://www.vcacareers.com/global/en/job/R-229502/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-230228,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA 12-Mile Animal Hospital,Gresham,Oregon,https://www.vcacareers.com/global/en/job/R-230228/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-217821,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$105,000 - $145,000 (Yearly)",VCA Douglas County Animal Hospital,Castle Rock,Colorado,https://www.vcacareers.com/global/en/job/R-217821/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-231233,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Benicia Animal Hospital,Benicia,California,https://www.vcacareers.com/global/en/job/R-231233/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-221773,Medical Director,Full time,General Practice Care,Medical Director,"$130,000 - $145,000 (Yearly)",VCA North Academy Animal Hospital,Colorado Springs,Colorado,https://www.vcacareers.com/global/en/job/R-221773/Medical-Director,,"3/30/2026, 6:17:01 PM"
R-231363,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Blue Ridge Animal Hospital,Greer,South Carolina,https://www.vcacareers.com/global/en/job/R-231363/Associate-Veterinarian,,"3/30/2026, 6:17:01 PM"
R-217865,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$105,000 - $145,000 (Yearly)",VCA North Academy Animal Hospital,Colorado Springs,Colorado,https://www.vcacareers.com/global/en/job/R-217865/Associate-Veterinarian,,"3/30/2026, 6:17:08 PM"
R-229151,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"for this position is $66,560 - $180K (Yearly)",VCA Sequoia Valley Animal Hospital,Santa Rosa,California,https://www.vcacareers.com/global/en/job/R-229151/Associate-Veterinarian,,"3/30/2026, 6:17:08 PM"
R-212058,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$105,000 - $140,000 (Yearly)",VCA Northwest Animal Hospital,Colorado Springs,Colorado,https://www.vcacareers.com/global/en/job/R-212058/Associate-Veterinarian,,"3/30/2026, 6:17:08 PM"
R-230770,Medical Director,Full time,General Practice Care,Medical Director,for this position is $150-$180K (Yearly),Blairstown Animal Hospital,Blairstown,New Jersey,https://www.vcacareers.com/global/en/job/R-230770/Medical-Director,,"3/30/2026, 6:17:08 PM"
R-99875,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian at VCA Westbury,"$140,000 - 200,000 (Yearly)","VCA, The Future Of Veterinary Medicine Is In Our Hands",Westbury,New York,https://www.vcacareers.com/global/en/job/R-99875/Emergency-Veterinarian,,"3/30/2026, 6:17:08 PM"
R-230618,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Oquirrh Hills Animal Hospital,Herriman,Utah,https://www.vcacareers.com/global/en/job/R-230618/Associate-Veterinarian,,"3/30/2026, 6:17:08 PM"
R-230617,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Hillsboro Animal Hospital,Coconut Creek,Florida,https://www.vcacareers.com/global/en/job/R-230617/Associate-Veterinarian,,"3/30/2026, 6:17:08 PM"
